                            	generic_wcscat	wcscat
Length  256/  64, alignment  3/ 2:	58.7943	60.2673
Length  512/ 512, alignment  0/ 0:	85.0183	84.9671
Length  512/ 512, alignment  2/ 4:	107.424	103.653
Length  512/ 128, alignment  0/ 0:	74.7156	71.8559
Length  512/ 128, alignment  2/ 4:	101.713	95.7793
Length 1024/ 256, alignment  0/ 0:	125.082	128.375
Length 1024/ 256, alignment  1/ 6:	163.953	181.013
Length   16/   1, alignment  1/ 2:	28.0395	28.4837
Length   16/   1, alignment  2/ 1:	28.4822	28.4507
Length   16/  10, alignment  1/ 1:	27.963	25.2619
Length   16/  10, alignment  1/ 1:	25.3055	25.347
Length   32/   1, alignment  2/ 4:	32.9909	34.3526
Length   32/   1, alignment  4/ 2:	34.8681	33.5312
Length   32/  10, alignment  2/ 2:	28.7787	29.0677
Length   32/  10, alignment  2/ 2:	29.5663	30.8824
Length   64/   1, alignment  3/ 6:	31.0793	30.3569
Length   64/   1, alignment  6/ 3:	31.0206	36.2594
Length   64/  10, alignment  3/ 3:	38.7043	38.5641
Length   64/  10, alignment  3/ 3:	37.8179	36.2689
Length  128/   1, alignment  4/ 0:	43.3467	44.6688
Length  128/   1, alignment  0/ 4:	45.8181	45.8094
Length  128/  10, alignment  4/ 4:	46.282	45.4799
Length  128/  10, alignment  4/ 4:	45.56	45.7501
Length  256/   1, alignment  5/ 2:	63.6167	63.2469
Length  256/   1, alignment  2/ 5:	53.2106	51.891
Length  256/  10, alignment  5/ 5:	61.0285	65.1172
Length  256/  10, alignment  5/ 5:	65.3617	65.0072
Length  512/   1, alignment  6/ 4:	104.983	101.358
Length  512/   1, alignment  4/ 6:	96.3551	100.233
Length  512/  10, alignment  6/ 6:	107.126	100.114
Length  512/  10, alignment  6/ 6:	101.507	95.5602
Length 1024/   1, alignment  7/ 6:	140.067	126.514
Length 1024/   1, alignment  6/ 7:	159.059	174.643
Length 1024/  10, alignment  7/ 7:	184.492	168.95
Length 1024/  10, alignment  7/ 7:	163.5	147.342
